Consumption,ExecutingUnit,Population,Remarks,CPP,Year
"179617788","桃園縣","1919606","無","256","2012-12-31"
"259381471","高雄市","2647676","無","268","2012-12-31"
"39528450","基隆市","376021","無","287","2012-12-31"
"661064","連江縣","10518","無","172","2012-12-31"
"57730067","雲林縣","668161","無","236","2012-12-31"
"408007424","新北市","3827286","無","291","2012-12-31"
"45965605","新竹市","417851","無","301","2012-12-31"
"36468260","新竹縣","420310","無","237","2012-12-31"
"27511981","嘉義市","270691","無","278","2012-12-31"
"38491244","嘉義縣","478674","無","220","2012-12-31"
"86728727","彰化縣","1204060","無","197","2012-12-31"
"242983015","臺中市","2486701","無","267","2012-12-31"
"325198191","臺北市","2654559","無","335","2012-12-31"
"15784845","臺東縣","179747","無","240","2012-12-31"
"169604861","臺南市","1858496","無","249","2012-12-31"
"7389197","澎湖縣","91344","無","221","2012-12-31"
"39351976","宜蘭縣","429844","無","251","2013-12-31"
"26999919","花蓮縣","281476","無","263","2013-12-31"
"4454128","金門縣","110466","無","110","2013-12-31"
"35703409","南投縣","404085","無","242","2013-12-31"
"35831659","屏東縣","396319","無","248","2013-12-31"
"36892271","苗栗縣","439840","無","230","2013-12-31"
"183928631","桃園縣","1936965","無","260","2013-12-31"
"261115595","高雄市","2652724","無","270","2013-12-31"
"39045875","基隆市","373576","無","286","2013-12-31"
"694778","連江縣","11315","無","168","2013-12-31"
"58467556","雲林縣","666662","無","240","2013-12-31"
"410703453","新北市","3847661","無","292","2013-12-31"
"46748569","新竹市","422168","無","303","2013-12-31"
"37925577","新竹縣","428658","無","242","2013-12-31"
"27255910","嘉義市","270470","無","276","2013-12-31"
"39290036","嘉義縣","475762","無","226","2013-12-31"
"88091992","彰化縣","1203824","無","200","2013-12-31"
"247056871","臺中市","2513025","無","269","2013-12-31"
"325023045","臺北市","2672953","無","333","2013-12-31"
"16040207","臺東縣","178858","無","246","2013-12-31"
"171901125","臺南市","1862293","無","253","2013-12-31"
"7467207","澎湖縣","92888","無","220","2013-12-31"
"39987501","宜蘭縣","431271","無","254","2014-12-31"
"28033998","花蓮縣","281240","無","273","2014-12-31"
"4826427","金門縣","117376","無","113","2014-12-31"
"36533602","南投縣","402528","無","249","2014-12-31"
"36507759","屏東縣","402014","無","249","2014-12-31"
"37969001","苗栗縣","445990","無","233","2014-12-31"
"189290596","桃園市","1951533","無","266","2014-12-31"
"264805556","高雄市","2655691","無","273","2014-12-31"
"39593162","基隆市","371595","無","292","2014-12-31"
"713866","連江縣","11762","無","166","2014-12-31"
"59024369","雲林縣","664685","無","243","2014-12-31"
"418016885","新北市","3862949","無","296","2014-12-31"
"47526880","新竹市","425628","無","306","2014-12-31"
"39481772","新竹縣","437681","無","247","2014-12-31"
"27549531","嘉義市","270405","無","279","2014-12-31"
"40224131","嘉義縣","472475","無","233","2014-12-31"
"90045532","彰化縣","1203136","無","205","2014-12-31"
"253403867","臺中市","2541593","無","273","2014-12-31"
"327020637","臺北市","2687780","無","333","2014-12-31"
"16648480","臺東縣","177790","無","257","2014-12-31"
"174298049","臺南市","1864431","無","256","2014-12-31"
"7581201","澎湖縣","94295","無","220","2014-12-31"
"41329516","宜蘭縣","431815","無","262","2015-12-31"
"28418183","花蓮縣","281212","無","277","2015-12-31"
"5238528","金門縣","123113","無","117","2015-12-31"
"37467286","南投縣","400567","無","256","2015-12-31"
"37493401","屏東縣","405145","無","254","2015-12-31"
"38878777","苗栗縣","451001","無","236","2015-12-31"
"185805000","桃園市","1983411","無","257","2015-12-31"
"258891831","高雄市","2658268","無","267","2015-12-31"
"39849030","基隆市","370244","無","295","2015-12-31"
"695693","連江縣","12101","無","158","2015-12-31"
"59937971","雲林縣","661260","無","248","2015-12-31"
"419262076","新北市","3873128","無","297","2015-12-31"
"47454881","新竹市","428418","無","303","2015-12-31"
"39984563","新竹縣","447156","無","245","2015-12-31"
"27722884","嘉義市","270207","無","281","2015-12-31"
"40801044","嘉義縣","469122","無","238","2015-12-31"
"91806708","彰化縣","1203239","無","209","2015-12-31"
"257653522","臺中市","2584283","無","273","2015-12-31"
"324974084","臺北市","2697137","無","330","2015-12-31"
"17187821","臺東縣","177196","無","266","2015-12-31"
"174220687","臺南市","1866276","無","256","2015-12-31"
"7554640","澎湖縣","95225","無","217","2015-12-31"
